[2026-05-30 14:28:56.886009] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 14:31:10.424399] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 14:36:04.243745] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 14:47:40.209265] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:04:14.488305] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:21:08.582543] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:23:13.020764] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:24:41.906223] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:25:27.535652] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:26:23.251337] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:27:28.926327] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:41:17.645283] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:44:54.485544] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:51:00.403389] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:52:57.749438] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:56:40.274530] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:57:50.335879] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 15:58:44.442070] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:07:13.944699] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:08:30.042667] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:11:34.407716] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:12:48.455070] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:16:47.871908] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:44:45.235591] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:54:48.209715] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:56:00.023816] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:57:31.633726] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 16:59:10.960847] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 17:00:50.326589] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 17:03:31.370270] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 17:05:13.465100] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 17:06:23.312467] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 17:07:25.825418] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 17:08:36.489067] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 17:10:11.619809] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 19:08:22.195968] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 19:12:18.102118] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-30 19:15:24.124894] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 01:24:38.307994] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 01:26:07.803538] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 03:31:00.297635] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:01:07.652310] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:10:50.086841] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:16:19.747346] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:18:34.896355] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:20:21.694960] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:21:52.734400] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:23:35.837190] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:25:38.111957] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:27:30.741567] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:29:05.704400] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:31:20.165190] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:33:57.511575] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:38:51.740085] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:40:17.343215] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:42:35.700271] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:43:46.471191] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 11:49:29.188444] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 13:51:31.764839] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 13:53:10.083655] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:00:10.544846] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:09:09.059664] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:12:31.248343] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:16:56.441393] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:18:12.392104] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:26:45.049132] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:33:26.289109] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:37:58.070698] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:39:55.782000] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:41:09.845495] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:42:55.500671] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:47:33.217868] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:50:27.010628] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:51:58.182262] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:53:17.013859] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:54:34.399841] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:56:21.989164] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:58:08.574468] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:59:58.405924] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:01:15.164980] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:02:27.906700] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:03:51.524317] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:05:32.361440] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:06:44.034632] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:08:04.052699] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:12:05.996850] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:16:53.914779] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:18:58.613247] WS-START: start() called with 5 tickers, rest_fallback_mode=False
